SamAccountName,GivenName,Surname,Name,Displayname,password,Department,path,UserPrincipalName
P.Parker,Peter,Parker,Peter Parker,Peter Parker,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",P.Parker@firstname.local
C.America,Captain,America,Captain America,Captain America,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",C.America@firstname.local
I.Man,Iron,Man,Iron Man,Iron Man,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",I.Man@firstname.local
T.Odinson,Thor,Odinson,Thor Odinson,Thor Odinson,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",T.Odinson@firstname.local
B.Grimm,Benjamin,Grimm,Benjamin Grimm,Benjamin Grimm,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",B.Grimm@firstname.local
R.Richards,Reed,Richards,Reed Richards,Reed Richards,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",R.Richards@firstname.local
B.Banner,Bruce,Banner,Bruce Banner,Bruce Banner,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",B.Banner@firstname.local
S.Summers,Scott,Summers,Scott Summers,Scott Summers,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",S.Summers@firstname.local
J.Storm,Jonathan,Storm,Jonathan Storm,Jonathan Storm,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",J.Storm@firstname.local
H.Mccoy,Henry,McCoy,Henry McCoy,Henry McCoy,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",H.Mccoy@firstname.local
S.Storm,Susan,Storm,Susan Storm,Susan Storm,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",S.Storm@firstname.local
N.Mckenzie,Namor,McKenzie,Namor McKenzie,Namor McKenzie,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",N.Mckenzie@firstname.local
O.Munroe,Ororo,Munroe,Ororo Munroe,Ororo Munroe,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",O.Munroe@firstname.local
C.Barton,Clinton,Barton,Clinton Barton,Clinton Barton,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",C.Barton@firstname.local
M.Murdock,Matthew,Murdock,Matthew Murdock,Matthew Murdock,p@ssw0rd,HR,"OU=HR,OU=Marvel,DC=comp1200,DC=local",M.Murdock@firstname.local
S.Strange,Stephen,Strange,Stephen Strange,Stephen Strange,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",S.Strange@firstname.local
M.Jane,Mary,Jane,Mary Jane,Mary Jane,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",M.Jane@firstname.local
J.Jonah,John,Jonah,John Jonah,John Jonah,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",J.Jonah@firstname.local
R.Drake,Robert,Drake,Robert Drake,Robert Drake,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",R.Drake@firstname.local
H.Pym,Henry,Pym,Henry Pym,Henry Pym,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",H.Pym@firstname.local
C.Xavier,Charles,Xavier,Charles Xavier,Charles Xavier,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",C.Xavier@firstname.local
W.Worthington,Warren,Worthington,Warren Worthington,Warren Worthington,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",W.Worthington@firstname.local
P.Rasputin,Piotr,Rasputin,Piotr Rasputin,Piotr Rasputin,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",P.Rasputin@firstname.local
W.Maximoff,Wanda,Maximoff,Wanda Maximoff,Wanda Maximoff,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",W.Maximoff@firstname.local
N.Fury,Nicholas,Fury,Nicholas Fury,Nicholas Fury,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",N.Fury@firstname.local
J.Van,Janet,van,Janet van,Janet van,p@ssw0rd,Sales,"OU=Sales,OU=Marvel,DC=comp1200,DC=local",J.Van@firstname.local
